Row Labels,Sum of Percent with religious exemption
BALLARD HIGH SCHOOL,0.2
7,0.2
BALLOU JR HIGH,0.5
10,0.5
BARBARA MCCLINTOCK STEM ELEMENTARY,0.3
4,0.3
BARGE-LINCOLN ELEMENTARY SCHOOL,0
4,0
BARKER CENTER,0
5,0
BARNES ELEMENTARY,0
3,0
BASIN CITY ELEMENTARY,0.2
4,0.2
BATTLE GROUND HIGH SCHOOL,0.6
0,0.6
BAY VIEW ELEMENTARY,0
2,0
BEACH ELEM,0
1,0
BEACHWOOD ELEMENTARY SCHOOL,0.6
0,0.6
BEACON AVENUE ELEMENTARY SCHOOL,0
6,0
BEACON HILL ELEMENTARY,0.4
3,0.4
BEACON HILL INTERNATIONAL SCHOOL,0
9,0
BEAR CREEK ELEMENTARY,0
1,0
BEAVER LAKE MIDDLE SCHOOL,0.2
8,0.2
BEAVER VALLEY SCHOOL,0
8,0
BEEZLEY SPRINGS ELEMENTARY,0
4,0
BEL-RED BILINGUAL ACADEMY,0
9,0
BELFAIR ELEMENTARY,0
0,0
BELL ELEMENTARY,0.5
1,0.5
BELLARMINE PREPARATORY SCHOOL,0.1
6,0.1
BELLEVUE BIG PICTURE SCHOOL,0
9,0
BELLEVUE CHILDREN'S ACADEMY,0
9,0
BELLEVUE CHILDREN'S ACADEMY 2ND LOCATION,0
9,0
BELLEVUE CHRISTIAN MACK ELEMENTARY,0
1,0
BELLEVUE CHRISTIAN SCHOOL,0
9,0
BELLEVUE HIGH SCHOOL,0.4
9,0.4
BELLEVUE MONTESSORI SCHOOL,0
9,0
BELLINGHAM CHRISTIAN SCHOOL,0
2,0
BELLINGHAM HIGH SCHOOL,0.1
2,0.1
BEMISS,0.4
5,0.4
BENGE ELEMENTARY,0
4,0
BENJAMIN FRANKLIN ELEMENTARY,0
3,0
BENNETT ELEMENTARY SCHOOL,0
9,0
BENSON HILL ELEMENTARY SCHOOL,0.9
9,0.9
BERNEY ELEMENTARY SCHOOL,0.5
5,0.5
BERTSCHI SCHOOL,0
7,0
BESS HERIAN ELEMENTARY,1
5,1
BEST NIGHT SR HIGH SCHOOL,0
1,0
BETHANY LUTHERAN ELEMENTARY,0
6,0
BETHEL HIGH SCHOOL,0.2
10,0.2
BETHEL MIDDLE SCHOOL,0.2
10,0.2
BETHLEHEM LUTHERAN SCHOOL,0
4,0
BETZ ELEMENTARY,0
5,0
BEVERLY ELEMENTARY,0.5
2,0.5
BEVERLY PARK ELEM AT GLENDALE,0
9,0
BICKLETON ELEMENTARY & HIGH SCHOOL,0
3,0
BIG LAKE ELEMENTARY SCHOOL,0
1,0
BIG LEAF MONTESSORI,0
0,0
BIG PICTURE SCHOOL,0
9,0
BILLINGS MIDDLE SCHOOL,0
7,0
BIO MED ACADEMY,0
2,0
BIRCHWOOD ELEMENTARY,0
2,0
BIRNEY ELEMENTARY SCHOOL,0
6,0
BISHOP BLANCHET HIGH SCHOOL,0
7,0
BK ACADEMY,0
0,0
BK PLAY ACADEMY FOR GIFTED CHILDREN,0
9,0
BLACK DIAMOND ELEMENTARY,0.4
8,0.4
BLACK LAKE ELEMENTARY,0.6
0,0.6
BLACKWELL ELEMENTARY,0
8,0
BLAINE ELEMENTARY SCHOOL,0.4
1,0.4
BLAINE HIGH SCHOOL,0.1
1,0.1
BLAINE MIDDLE SCHOOL,1.1
1,1.1
BLAINE PRIMARY SCHOOL,0
1,0
BLIX ELEMENTARY SCHOOL,0.4
10,0.4
BLOSSOMING HILL MONTESSORI,0
8,0
BLUE HERON MIDDLE SCHOOL,0.5
6,0.5
BLUE RIDGE ELEMENTARY,0.3
5,0.3
BOISTFORT ELEM,0
3,0
BONNEY LAKE CHRISTIAN ACADEMY,0
8,0
BONNEY LAKE ELEMENTARY,0.4
8,0.4
BONNEY LAKE HIGH SCHOOL,0.4
8,0.4
BORDEAUX ELEMENTARY SCHOOL,0.2
10,0.2
BOSTON HARBOR ELEMENTARY,0.6
10,0.6
BOTHELL HIGH SCHOOL,0.1
1,0.1
BOW LAKE ELEMENTARY,0.3
9,0.3
BOWDISH MIDDLE SCHOOL,0.2
5,0.2
BOZE,0.3
10,0.3
BREMERTON HIGH SCHOOL,0.3
6,0.3
BRENTWOOD ELEMENTARY SCHOOL,0.2
5,0.2
BREWSTER ALTERNATIVE HIGH SCHOOL,0
4,0
BREWSTER ELEMENTARY SCHOOL,0
0,0
BREWSTER HIGH SCHOOL,0
0,0
BREWSTER JUNIOR HIGH SCHOOL,0
0,0
BRIARCREST ELEMENTARY,0
7,0
BRIARWOOD ELEMENTARY,0
8,0
BRIDGEPORT AURORA HIGH SCHOOL,0
4,0
BRIDGEPORT ELEMENTARY,0
4,0
BRIDGEPORT HIGH SCHOOL,0
4,0
BRIDGEPORT MIDDLE SCHOOL,0
4,0
BRIDGEWAY CHRISTIAN ACADEMY,0
1,0
BRIER ELEMENTARY,0.4
2,0.4
BRIER TERRACE MIDDLE SCHOOL,0.2
2,0.2
BRIGADOON ELEMENTARY SCHOOL,1.5
9,1.5
BRIGHT WATER SCHOOL,0
7,0
BRIGHTMONT ACADEMY--BELLEVUE CAMPUS,0
9,0
BRIGHTMONT ACADEMY--SAMMAMISH CAMPUS,0
8,0
BRIGHTMONT ACADEMY--SEATTLE CAMPUS,0
7,0
BRIGHTON SCHOOL,0
2,0
BRINNON ELEMENTARY,3.3
6,3.3
BROADVIEW ELEMENTARY,0.2
2,0.2
BROADVIEW-THOMSON K-8 SCHOOL,0.3
7,0.3
BROADWAY ELEMENTARY,0.4
5,0.4
BROOKDALE ELEMENTARY,0
10,0
BROOKLAKE CHRISTIAN SCHOOL,0
9,0
BROOKSIDE ELEMENTARY,0
7,0
BROUILLET ELEMENTARY,0.3
10,0.3
BROWNE ELEMENTARY,0.5
5,0.5
BROWNS POINT ELEMENTARY SCHOOL,0.2
9,0.2
BROWNSVILLE ELEMENTARY,0
6,0
BRYANT CENTER,2
0,2
BRYANT ELEMENTARY SCHOOL,0.2
7,0.2
BRYANT MONTESSORI SCHOOL,0
6,0
BRYN MAWR ELEMENTARY SCHOOL,0
9,0
BUENA VISTA SDA SCHOOL,0
8,0
BURLEY CHRISTIAN SCHOOL,2
6,2
BURLEY GLENWOOD ELEMENTARY,0.8
6,0.8
BURLINGTON EDISON HIGH SCHOOL,0.3
2,0.3
BURLINGTON-EDISON ALTERNATIVE SCHOOL,0
2,0
BURNT BRIDGE CREEK ELEMENTARY SCH,0.2
3,0.2
BURTON ELEMENTARY SCHOOL,0.2
3,0.2
BUTLER ACRES ELEMENTARY,0
3,0
BYRON KIBLER ELEMENTARY SCHOOL,0
8,0
CALVARY CHAPEL CHRISTIAN SCHOOL,28.6
0,28.6
CALVARY CHRISTIAN ACADEMY,0
2,0
CALVARY CHRISTIAN SCHOOL,0.6
4,0.6
CAM ACADEMY,1.3
3,1.3
CAMAS CHRISTIAN ACADEMY (BRIGHT FUTURES CHRISTIAN SCHOOL),0
3,0
CAMAS ELEMENTARY,0
4,0
CAMAS HIGH SCHOOL,0.5
3,0.5
CAMAS MONTESSORI SCHOOL,0
3,0
CAMAS PRAIRIE ELEMENTARY,0
10,0
CAMELOT ELEMENTARY SCHOOL,0.3
8,0.3
CAMPBELL HILL ELEMENTARY SCHOOL,0.2
9,0.2
CAN LEARN ACADEMY,0
5,0
CANYON CREEK ELEMENTARY,0
1,0
CANYON CREEK MIDDLE SCHOOL,0
3,0
CANYON PARK JR HIGH,0.1
1,0.1
CANYON VIEW ELEMENTARY SCHOOL,0.2
4,0.2
CAP SANTE HIGH SCHOOL,0
2,0
CAPE HORN SKYE ELEMENTARY,1
3,1
CAPITAL HIGH SCHOOL,0.4
10,0.4
CAPITAL MONTESSORI SCHOOL,5.3
0,5.3
CAPT JOHNSTON BLAKELY ELEM SCH,0.6
6,0.6
CAPT. CHARLES WILKES ELEM SCHOOL,0.3
6,0.3
CAPTAIN GRAY ELEMENTARY,0
4,0
CAPTAIN STRONG,0.7
0,0.7
CARBONADO HISTORICAL SCHOOL 19,0
8,0
CARDEN COUNTRY SCHOOL,0
6,0
CAREER ACADEMY AT TRUMAN HIGH SCHOOL,0
9,0
CARL COZIER ELEMENTARY SCHOOL,1.4
2,1.4
CARMICHAEL MIDDLE SCHOOL,0.3
4,0.3
CARNATION ELEMENTARY SCHOOL,0.5
0,0.5
CARRIAGE CREST ELEMENTARY SCHOOL,0.2
8,0.2
CARROLLS ELEMENTARY,0
0,0
CARSON ELEMENTARY,1.3
0,1.1
1,0.2
CARTER LAKE ELEMENTARY SCHOOL,0
10,0
CASCADE CHRISTIAN ACADEMY,3
8,3
CASCADE CHRISTIAN JUNIOR HIGH AND HIGH SCHOOL,0
10,0
CASCADE CHRISTIAN SCHOOL--PUYALLUP ELEMENTARY,0
10,0
CASCADE CHRISTIAN SCHOOLS--FREDRICKSON ELEMENTARY,0
10,0
CASCADE ELEMENTARY,0.4
2,0.4
4,0
CASCADE ELEMENTARY SCHOOL,1.3
3,0.4
4,0.2
9,0.7
CASCADE HIGH SCHOOL,0.2
2,0.2
8,0
CASCADE INDEPENDENT HIGH SCHOOL,0
8,0
CASCADE K-8 COMMUNITY SCHOOL (ROOM NINE),0
7,0
CASCADE MIDDLE SCHOOL,1.9
2,0.7
3,1.1
7,0
8,0.1
CASCADE RIDGE ELEMENTARY,0
8,0
CASCADE VIEW ELEMENTARY,0
1,0
9,0
CASCADE VIEW ELEMENTARY SCHOOL,0.2
8,0.2
CASCADE VISTA BAPTIST SCHOOL,0
9,0
CASCADES MONTESSORI MIDDLE SCHOOL,0
2,0
CASCADIA ELEMENTARY,0
1,0
CASCADIA MONTESSORI SCHOOL,0
1,0
CASCADIA SCHOOL,0
3,0
CASHMERE HIGH SCHOOL,0
8,0
CASHMERE MIDDLE SCHOOL,0.2
8,0.2
CASTLE ROCK ELEMENTARY,0.5
3,0.5
CASTLE ROCK HIGH SCHOOL,0.5
3,0.5
CASTLE ROCK MIDDLE SCHOOL,0
3,0
CATALDO SCHOOL,0.6
5,0.6
CATHARINE BLAINE K-8 SCHOOL,0
7,0
CATHCART ELEMENTARY,1.5
1,1.5
CATLIN ELEMENTARY,0
3,0
CAVELERO MID HIGH SCHOOL,0.3
0,0.3
CEDAR CREST ACADEMY,0
1,0
CEDAR CREST ACADEMY - BELLEWOOD,0
0,0
CEDAR HEIGHTS JH,0.5
6,0.5
CEDAR HEIGHTS MIDDLE SCHOOL,0.4
8,0.4
CEDAR PARK CHRISTIAN SCHOOL--BELLEVUE CAMPUS,0
9,0
CEDAR PARK CHRISTIAN SCHOOL--LYNNWOOD CAMPUS,0.7
2,0.7
CEDAR PARK CHRISTIAN SCHOOL--MILL CREEK (EVERETT) CAMPUS,0
1,0
CEDAR PARK CHRISTIAN SCHOOL--MOUNTLAKE TERRACE CAMPUS,0
2,0
CEDAR PARK CHRISTIAN SCHOOLS,0.2
1,0.2
CEDAR RIVER MIDDLE SCHOOL,0.1
8,0.1
CEDAR RIVER MONTESSORI SCHOOL,0
8,0
CEDAR TREE CLASSICAL CHRISTIAN SCHOOL,0
3,0
CEDAR TREE MONTESSORI,0
2,0
CEDAR VALLEY COMMUNITY SCHOOL,0
2,0
CEDAR VALLEY ELEMENTARY SCHOOL,0.4
8,0.4
CEDAR WAY ELEMENTARY,0.2
2,0.2
CEDAR WOOD ELEMENTARY,0.1
1,0.1
CEDARBROOK ADVENTIST CHRISTIAN,0
6,0
CEDARCREST HIGH SCHOOL,0.3
1,0.3
CEDARCREST MIDDLE SCHOOL,0.3
10,0.3
CEDARCREST SCHOOL,0.1
2,0.1
CEDARHOME ELEMENTARY SCHOOL,0
2,0
CEDARHURST ELEMENTARY,0
7,0
CENTENNIAL ELEMENTARY,0.8
8,0.4
10,0.4
CENTENNIAL ELEMENTARY SCHOOL,0
1,0
CENTENNIAL MIDDLE SCHOOL,1
1,0.3
5,0.7
CENTER ELEMENTARY SCHOOL,0
0,0
CENTERVILLE ELEMENTARY,4.7
3,4.7
CENTRAL AVENUE ELEMENTARY,0.2
10,0.2
CENTRAL ELEMENTARY,1.7
0,0.6
1,1.1
CENTRAL ELEMENTARY SCHOOL,1.3
2,0.9
6,0.4
CENTRAL KITSAP HIGH SCHOOL,0.1
6,0.1
CENTRAL KITSAP JUNIOR HIGH,0.3
6,0.3
CENTRAL PARK ELEMENTARY,0
6,0
CENTRAL VALLEY HIGH SCHOOL,0
5,0
CENTRAL VALLEY KINDERGARTEN CENTER,0.5
5,0.5
CENTRALIA CHRISTIAN,0
3,0
CENTRALIA HIGH SCHOOL,0
3,0
CENTRALIA MIDDLE SCHOOL,0.2
3,0.2
CHAIN LAKE ELEMENTARY SCHOOL,0.4
1,0.4
CHALLENGE ELEMENTARY,0
2,0
CHALLENGER ELEMENTARY,0.3
2,0.1
8,0.2
CHALLENGER SECONDARY SCHOOL,0.8
10,0.8
CHAMBERS ELEMENTARY,0
0,0
CHAMBERS PRAIRIE ELEMENTARY SCHOOL,0
10,0
CHARLES WRIGHT ACADEMY,0.3
10,0.3
CHASE LAKE ELEMENTARY,0
7,0
CHASE MIDDLE SCHOOL,0.8
5,0.8
CHATTAROY ELEMENTARY,0.5
5,0.5
CHAUNCEY DAVIS ELEMENTARY,0.3
0,0.3
CHAUTAUQUA ELEMENTARY,0.7
7,0.7
CHEHALIS MIDDLE SCHOOL,0.5
3,0.5
CHELAN HIGH SCHOOL,0.9
0,0.9
CHELAN MIDDLE SCHOOL,0.9
0,0.9
CHENEY HIGH SCHOOL,0.3
5,0.3
CHENEY MIDDLE SCHOOL,0.4
5,0.4
CHERRY CREST ELEMENTARY SCHOOL,0.4
9,0.4
CHERRY VALLEY ELEMENTARY SCHOOL,0
1,0
CHERRYDALE ELEMENTARY,0.3
10,0.3
CHESTER ELEMENTARY SCHOOL,0
5,0
CHESTER H THOMPSON ELEMENTARY,0.2
10,0.2
CHESTNUT HILL ACADEMY SOUTH CAMPUS,0
9,0
CHESTNUT MONTESSORI SCHOOL,0
9,0
CHEWELAH ALTERNATIVE,0
0,0
CHIAWANA HIGH SCHOOL,0
0,0
CHIEF JOSEPH MIDDLE SCHOOL,0
4,0
CHIEF KAMIAKIN ELEMENTARY SCHOOL,0
4,0
CHIEF KANIM MIDDLE SCHOOL,0
0,0
CHIEF MOSES MIDDLE SCHOOL,0.3
4,0.3
CHIEF SEALTH INTERNATIONAL HIGH SCHOOL,0.1
7,0.1
CHIEF UMTUCH MIDDLE,0.7
0,0.7
"CHILD DEVELOPMENT PROGRAM, WSU VANCOUVER",0
3,0
CHILD SCHOOL-NEW HEIGHTS SCHOOL AT CHILDREN'S INSTITUTE FOR LEARNING DIFFERENCES (CHILD),2.4
9,2.4
CHILDRENS GARDEN MONTESSORI,0
4,0
CHIMACUM CREEK PRIMARY SCHOOL,0.4
6,0.4
CHIMACUM ELEMENTARY SCHOOL,0.5
0,0.5
CHIMACUM HIGH SCHOOL,0.8
0,0.8
CHIMACUM MIDDLE SCHOOL,0.5
0,0.5
CHINOOK ELEMENTARY SCHOOL,0.3
3,0.3
8,0
CHINOOK MIDDLE SCHOOL,0.5
4,0
9,0.4
10,0.1
CHLOE CLARK ELEMENTARY,0.2
10,0.2
CHOICE,0
1,0
CHOICE ACADEMY,0
7,0
CHOICE ALTERNATIVE SCHOOL,0
10,0
CHRIST THE KING LUTHERAN SCHOOL,0
6,0
CHRIST THE KING SCHOOL,0.9
4,0.3
7,0.6
CHRISTENSEN ELEMENTARY,0
10,0
CHRISTIAN FAITH SCHOOL,0
9,0
CHRISTIAN HERITAGE SCHOOL,0
5,0
CHRISTIAN WORSHIP CENTER ELEMENTARY,0
4,0
CHRYSALIS SCHOOL (9-12),0.8
1,0.8
CHRYSALIS SCHOOL (K-8),0
1,0
CLALLAM BAY HIGH AND ELEMENTARY,0
6,0
CLARK COUNTY SKILLS CENTER,0.4
3,0.4
CLARK ELEMENTARY,0.5
8,0.5
CLARKSTON (CHARLES FRANCIS ADAMS) HIGH SCHOOL,0
5,0
CLE ELUM ROSLYN ELEMENTARY,0
8,0
CLE ELUM ROSLYN HIGH SCHOOL,0.4
8,0.4
CLEAR CREEK ELEMENTARY SCHOOL,0.2
6,0.2
CLEAR LAKE ELEMENTARY SCHOOL,0.6
0,0.6
CLEVELAND HIGH SCHOOL,0.1
9,0.1
CLIP,0
1,0
CLOVER CREEK ELEMENTARY,0.3
10,0.3
CLOVER PARK HIGH SCHOOL,0.2
10,0.2
CLOVIS POINT,0.2
4,0.2
CLYDE HILL ELEMENTARY,0
1,0
COLBERT ELEMENTARY SCHOOL,0.2
5,0.2
COLFAX PUBLIC SCHOOLS,0
5,0
COLLEGE PLACE ELEMENTARY,0.2
7,0.2
COLLEGE PLACE HIGH SCHOOL,0.6
5,0.6
COLLEGE PLACE MIDDLE SCHOOL,0.4
2,0.4
COLLINS ELEMENTARY,0.5
10,0.5
COLTON SCHOOL,0
5,0
COLUMBIA ADVENTIST ACADEMY,0
3,0
COLUMBIA CREST ELEMENTARY SCHOOL,0
8,0
COLUMBIA ELEMENTARY,0.7
2,0.7
4,0
COLUMBIA ELEMENTARY SCHOOL,0
2,0
8,0
COLUMBIA HEIGHTS ELEMENTARY,0
3,0
COLUMBIA HIGH AND ELEMENTARY,0
0,0
COLUMBIA HIGH SCHOOL,2
0,0.8
4,1.2
COLUMBIA JUNIOR HIGH SCHOOL,0.2
10,0.2
COLUMBIA MIDDLE SCHOOL,0.6
4,0.6
COLUMBIA RIDGE ELEMENTARY,0.2
0,0.2
COLUMBIA RIVER HIGH,0.7
3,0.7
COLUMBIA VALLEY ELEMENTARY,0
3,0
COLUMBIA VALLEY GARDEN ELEM SCHL,0
3,0
COLVILLE JUNIOR HIGH SCHOOL,1
5,1
COLVILLE SENIOR HIGH SCHOOL,0.9
5,0.9
COLVILLE VALLEY JUNIOR ACADEMY,0
5,0
COMM BASED TRANS PROGRAM,0
6,0
COMMUNITY CHRISTIAN ACADEMY,0
10,0
COMMUNITY MONTESSORI,0
6,0
COMMUNITY SCHOOL,0
1,0
COMPASS HIGH SCHOOL,0
4,0
CONCORD INTERNATIONAL SCHOOL,0
9,0
CONCORDIA LUTHERAN SCHOOL,0
7,0
10,0
CONCRETE ELEMENTARY,0
1,0
CONCRETE HIGH SCHOOL,1.2
1,1.2
CONNELL ELEM,0.2
0,0.2
CONNELL HIGH SCHOOL,0
0,0
CONTINUOUS CURRICULUM SCHOOL,0.4
5,0.4
CONWAY SCHOOL,0
0,0
COOPER ELEMENTARY,0.2
5,0.2
CORDATA ELEMENTARY SCHOOL,0
2,0
CORNERSTONE ACADEMY,0
1,0
CORNERSTONE CHRISTIAN SCHOOL,3.1
1,0.8
3,0.7
10,1.6
COSMOPOLIS ELEMENTARY SCHOOL,0.7
6,0.7
COTTAGE LAKE ELEMENTARY,0
1,0
COTTONWOOD ELEMENTARY,0.3
4,0.3
COTTONWOOD ELEMENTARY SCHOOL,0
4,0
6,0
COUGAR CREEK ELEMENTARY SCHOOL,0.5
0,0.5
COUGAR MOUNTAIN MIDDLE SCHOOL,0.3
8,0.3
COUGAR RIDGE ELEMENTARY,0.2
0,0.2
COUGAR VALLEY ELEMENTARY,0
6,0
COULEE CITY ELEMENTARY,1.2
4,1.2
COUNTRYSIDE MONTESSORI SCHOOL,0
1,0
COUNTRYSIDE SDA ELEMENTARY,0
5,0
COUPEVILLE ELEMENTARY SCHOOL,0.5
2,0.5
COUPEVILLE HIGH SCHOOL,0.6
2,0.6
COUPEVILLE MIDDLE SCHOOL,0
2,0
COVENANT CHRISTIAN SCHOOL,13.8
1,13.8
COVENANT HIGH SCHOOL,1.9
6,1.9
COVINGTON ELEMENTARY SCHOOL,0
8,0
COVINGTON MIDDLE SCHOOL,1.1
3,1.1
COWEEMAN MIDDLE SCHOOL,0.2
3,0.2
COWLITZ PRAIRIE ACADEMY (TOLEDO ALTERNATIVE OPTIONS),0
0,0
COWLITZ SCHOOL AT THE CONFLUENCE,0
3,0
CREATIVE MONTESSORI,0
1,0
CREEKSIDE ELEMENTARY,0
8,0
CRESCENT HARBOR ELEM,0.3
2,0.3
CRESCENT HEIGHTS ELEMENTARY SCHOOL,0.2
9,0.2
CRESCENT SCHOOL,3.6
0,3.6
CRESTLINE ELEMENTARY SCHOOL,0
3,0
CRESTON ELEMENTARY,0
0,0
CRESTON JR-SR HIGH SCHOOL,0
0,0
CRESTVIEW CHRISTIAN SCHOOL,0
4,0
CRESTWOOD ELEMENTARY,0.2
8,0.2
CRESTWOOD ELEMENTARY SCHOOL,0
8,0
CROSSROADS HIGH SCHOOL,0
1,0
CROWNHILL ELEMENTARY SCHOOL,0
6,0
CRYSTAL SPRINGS ELEMENTARY,0
1,0
CURLEW ELEM & HIGH SCHOOL,7.2
0,7.2
CURTIS JUNIOR HIGH,0.8
10,0.8
CURTIS SENIOR HIGH,1
10,1
CUSICK JR SR HIGH SCHOOL,2.2
5,2.2
CUSTER ELEM,0.3
1,0.3
CUSTER ELEMENTARY SCHOOL,0.3
10,0.3
CYPRESS ADVENTIST SCHOOL,0
2,0
DAFFODIL VALLEY ELEMENTARY,0.4
0,0.4
DALLESPORT ELEMENTARY,0
0,0
DAMMAN ELEMENTARY,0
8,0
DANIEL BAGLEY ELEMENTARY SCHOOL,0.5
7,0.5
DARRINGTON ELEMENTARY SCHOOL,0.4
0,0.4
DARRINGTON SR HIGH SCHOOL,0
0,0
DARTMOOR SCHOOL--BELLEVUE,0
9,0
DARTMOOR SCHOOL--ISSAQUAH,0
8,0
DARTMOOR SCHOOL--SEATTLE,0
7,0
DARTMOOR SCHOOL--WOODINVILLE,0
1,0
DAVENPORT ELEMENTARY,0.3
0,0.3
DAVENPORT SENIOR HIGH SCHOOL,0
0,0
DAVID T. DENNY INTERNATIONAL SCHOOL,0.5
7,0.5
DAVID WOLFLE ELEMENTARY,0.6
6,0.6
DAVIS ELEMENTARY,0.7
5,0.7
DAVIS HIGH SCHOOL,0.1
4,0.1
DAY REPORTING SCHOOL,0
6,0
DAYBREAK MIDDLE,2.1
3,2.1
DAYBREAK PRIMARY,1
3,1
DAYTON ELEMENTARY SCHOOL,0.5
0,0.5
DAYTON HIGH SCHOOL,0
0,0
DAYTON MIDDLE SCHOOL,0
0,0
DEARBORN PARK ELEMENTARY SCHOOL,0
9,0
DECATUR ELEMENTARY,0
0,0
DECATUR HIGH SCHOOL,0.1
9,0.1
DEEP CREEK HUTTERIAN SCHOOL,0
5,0
DEER PARK ELEMENTARY,0.5
0,0.5
DEER PARK HIGH SCHOOL,0.5
0,0.5
DEER PARK MIDDLE SCHOOL,0.4
0,0.4
DELONG ELEMENTARY SCHOOL,0.2
6,0.2
DER KINDERHUIS MONTESSORI,0
2,0
DERECH EMUNAH DBA SEATTLE JEWISH GIRLS HIGH SCHOOL,0
7,0
DES MOINES ELEMENTARY,0
9,0
DESALES CATHOLIC SCHOOL,1.1
5,1.1
DESERT HILLS MIDDLE SCHOOL,0.1
